pokemon,total_use,item1,item1_cnt,item1_rate,item2,item2_cnt,item2_rate,item3,item3_cnt,item3_rate,item4,item4_cnt,item4_rate,item5,item5_cnt,item5_rate
ガブリアス,383,こだわりスカーフ,135,35.2,きあいのタスキ,109,28.5,オボンのみ,76,19.8,ラムのみ,37,9.7,ハバンのみ,13,3.4
ブリジュラス,287,オボンのみ,93,32.4,たべのこし,70,24.4,しろいハーブ,48,16.7,こだわりスカーフ,18,6.3,シュカのみ,15,5.2
イダイトウ（オスのすがた）,203,こだわりスカーフ,88,43.3,しんぴのしずく,48,23.6,きあいのタスキ,35,17.2,のろいのおふだ,28,13.8,オボンのみ,1,0.5
フラエッテ（えいえんのはな）,163,フラエッテナイト,154,94.5,こだわりスカーフ,5,3.1,ラムのみ,1,0.6,きあいのタスキ,1,0.6,,,
アーマーガア,163,たべのこし,98,60.1,オボンのみ,44,27.0,ひかりのこな,6,3.7,ラムのみ,5,3.1,持ち物なし,4,2.5
アシレーヌ,159,オボンのみ,60,37.7,たべのこし,31,19.5,カゴのみ,18,11.3,しんぴのしずく,17,10.7,ラムのみ,13,8.2
ミミロップ,143,ミミロップナイト,140,97.9,オボンのみ,1,0.7,,,,,,,,,
カバルドン,127,オボンのみ,88,69.3,たべのこし,36,28.3,ラムのみ,1,0.8,イトケのみ,1,0.8,持ち物なし,1,0.8
ミミッキュ（ばけたすがた）,123,ようせいのハネ,40,32.5,ラムのみ,31,25.2,のろいのおふだ,26,21.1,ピントレンズ,13,10.6,こだわりスカーフ,5,4.1
ギャラドス,123,ギャラドスナイト,86,69.9,たべのこし,14,11.4,オボンのみ,11,8.9,ラムのみ,7,5.7,カゴのみ,4,3.3
マスカーニャ,115,こだわりスカーフ,79,68.7,きあいのタスキ,28,24.3,じしゃく,2,1.7,オボンのみ,2,1.7,でんきだま,2,1.7
ギルガルド（シールドフォルム）,115,たべのこし,49,42.6,のろいのおふだ,47,40.9,きあいのタスキ,12,10.4,ラムのみ,3,2.6,シュカのみ,2,1.7
ハッサム,108,ハッサムナイト,85,78.7,オボンのみ,9,8.3,メタルコート,5,4.6,持ち物なし,4,3.7,ラムのみ,2,1.9
ゲンガー,103,ゲンガナイト,81,78.6,きあいのタスキ,21,20.4,こだわりスカーフ,1,1.0,,,,,,
リザードン,100,リザードナイトＹ,58,58.0,リザードナイトＸ,42,42.0,,,,,,,,,
キラフロル,96,キラフロルナイト,45,46.9,きあいのタスキ,36,37.5,たべのこし,11,11.5,こだわりスカーフ,2,2.1,カゴのみ,1,1.0
マフォクシー,88,マフォクシナイト,88,100.0,,,,,,,,,,,,
カイリュー,86,カイリュナイト,69,80.2,ラムのみ,12,14.0,こだわりスカーフ,2,2.3,たべのこし,1,1.2,ハバンのみ,1,1.2
ウルガモス,80,オボンのみ,34,42.5,ラムのみ,19,23.8,きあいのタスキ,10,12.5,たべのこし,10,12.5,イトケのみ,3,3.8
ドドゲザン,70,くろいメガネ,46,65.7,きあいのタスキ,7,10.0,ラムのみ,5,7.1,オボンのみ,3,4.3,オッカのみ,3,4.3
ルカリオ,69,ルカリオナイト,67,97.1,こだわりスカーフ,1,1.4,きあいのタスキ,1,1.4,,,,,,
スターミー,69,スターミナイト,69,100.0,,,,,,,,,,,,
サザンドラ,69,こだわりスカーフ,41,59.4,ラムのみ,8,11.6,たべのこし,7,10.1,きあいのタスキ,7,10.1,ヤチェのみ,2,2.9
ブラッキー,67,たべのこし,63,94.0,オボンのみ,2,3.0,ラムのみ,1,1.5,くろいメガネ,1,1.5,,,
ダイケンキ（ヒスイのすがた）,65,きあいのタスキ,25,38.5,くろいメガネ,22,33.8,こだわりスカーフ,11,16.9,ラムのみ,4,6.2,オボンのみ,2,3.1
ソウブレイズ,55,きあいのタスキ,48,87.3,たべのこし,2,3.6,のろいのおふだ,2,3.6,こだわりスカーフ,1,1.8,シュカのみ,1,1.8
カメックス,54,カメックスナイト,52,96.3,オボンのみ,1,1.9,しろいハーブ,1,1.9,,,,,,
ゲッコウガ,54,ゲッコウガナイト,25,46.3,きあいのタスキ,21,38.9,こだわりスカーフ,6,11.1,くろいメガネ,1,1.9,でんきだま,1,1.9
ガルーラ,52,ガルーラナイト,52,100.0,,,,,,,,,,,,
ピクシー,47,ピクシナイト,40,85.1,たべのこし,3,6.4,きあいのタスキ,2,4.3,リリバのみ,1,2.1,オボンのみ,1,2.1
エアームド,38,エアームドナイト,25,65.8,オボンのみ,6,15.8,たべのこし,5,13.2,くろおび,1,2.6,ひかりのこな,1,2.6
フシギバナ,38,フシギバナイト,36,94.7,たべのこし,1,2.6,,,,,,,,,
ヤドキング（ガラルのすがた）,37,たべのこし,12,32.4,オボンのみ,11,29.7,シュカのみ,7,18.9,持ち物なし,2,5.4,まがったスプーン,2,5.4
スコヴィラン,36,スコヴィラナイト,22,61.1,たべのこし,14,38.9,,,,,,,,,
オオニューラ,36,オボンのみ,13,36.1,こだわりスカーフ,10,27.8,しろいハーブ,6,16.7,きあいのタスキ,4,11.1,くろおび,2,5.6
ドヒドイデ,33,持ち物なし,17,51.5,オボンのみ,10,30.3,たべのこし,5,15.2,メンタルハーブ,1,3.0,,,
メガニウム,32,メガニウムナイト,31,96.9,,,,,,,,,,,,
ラウドボーン,32,たべのこし,12,37.5,オボンのみ,10,31.2,カシブのみ,5,15.6,持ち物なし,3,9.4,ナモのみ,1,3.1
クエスパトラ,32,オボンのみ,14,43.8,きあいのタスキ,10,31.2,たべのこし,5,15.6,カシブのみ,2,6.2,ナモのみ,1,3.1
ロトム（ウォッシュロトム）,29,オボンのみ,8,27.6,こだわりスカーフ,8,27.6,カゴのみ,7,24.1,たべのこし,4,13.8,ラムのみ,2,6.9
ハラバリー,27,たべのこし,18,66.7,オボンのみ,6,22.2,シュカのみ,2,7.4,じしゃく,1,3.7,,,
カビゴン,26,ヨプのみ,12,46.2,たべのこし,10,38.5,オボンのみ,2,7.7,シルクのスカーフ,1,3.8,カゴのみ,1,3.8
サーナイト,24,サーナイトナイト,19,79.2,ビアーのみ,2,8.3,こだわりスカーフ,1,4.2,ようせいのハネ,1,4.2,,,
ニンフィア,22,たべのこし,13,59.1,ようせいのハネ,4,18.2,カゴのみ,2,9.1,リリバのみ,1,4.5,持ち物なし,1,4.5
ペリッパー,21,オボンのみ,9,42.9,きあいのタスキ,4,19.0,こだわりスカーフ,3,14.3,しんぴのしずく,2,9.5,ラムのみ,2,9.5
オニシズクモ,20,オボンのみ,12,60.0,しんぴのしずく,3,15.0,せんせいのツメ,1,5.0,メンタルハーブ,1,5.0,きあいのタスキ,1,5.0
ヤドラン,20,ヤドランナイト,17,85.0,リンドのみ,1,5.0,カゴのみ,1,5.0,たべのこし,1,5.0,,,
ユキメノコ,19,ユキメノコナイト,19,100.0,,,,,,,,,,,,
ウツボット,18,ウツボットナイト,18,100.0,,,,,,,,,,,,
バンギラス,18,バンギラスナイト,5,27.8,たべのこし,5,27.8,シュカのみ,3,16.7,カゴのみ,2,11.1,ラムのみ,2,11.1
ドリュウズ,17,やわらかいすな,9,52.9,ドリュウズナイト,4,23.5,オボンのみ,3,17.6,カゴのみ,1,5.9,,,
ブリガロン,16,ブリガロナイト,14,87.5,持ち物なし,1,6.2,こだわりスカーフ,1,6.2,,,,,,
エンペルト,15,たべのこし,5,33.3,シュカのみ,4,26.7,きあいのタスキ,2,13.3,メンタルハーブ,1,6.7,オボンのみ,1,6.7
キュウコン（アローラのすがた）,15,とけないこおり,5,33.3,こだわりスカーフ,4,26.7,オボンのみ,2,13.3,ビアーのみ,1,6.7,きあいのタスキ,1,6.7
エルフーン,13,きあいのタスキ,7,53.8,たべのこし,5,38.5,リリバのみ,1,7.7,,,,,,
メタモン,12,こだわりスカーフ,9,75.0,きあいのタスキ,2,16.7,せんせいのツメ,1,8.3,,,,,,
マリルリ,12,オボンのみ,9,75.0,ラムのみ,2,16.7,カゴのみ,1,8.3,,,,,,
ヘラクロス,12,ヘラクロスナイト,11,91.7,ライチュウナイトＸ,1,8.3,,,,,,,,,
ヌメルゴン（ヒスイのすがた）,12,たべのこし,4,33.3,ヨプのみ,2,16.7,シュカのみ,2,16.7,カゴのみ,1,8.3,オボンのみ,1,8.3
